name;idProject;idActivity;activity type;status;planning mode
Payment Run;37;812;Task;recorded;as soon as possible
Manual & Unplanned Payments;37;812;Task;recorded;as soon as possible
Invoice check;37;812;Task;recorded;as soon as possible
Other Processes;37;812;Task;recorded;as soon as possible
Project - Robotic;37;812;Task;recorded;as soon as possible
Mailbox;37;812;Task;recorded;as soon as possible
Payment Run Issues;37;812;Task;recorded;as soon as possible
Banks Issues;37;812;Task;recorded;as soon as possible
On Boarding;37;812;Task;recorded;as soon as possible
Audit;37;812;Task;recorded;as soon as possible
Proof of payment;37;812;Task;recorded;as soon as possible
